notice-identifier,total-value-eur,total-value-eur-log,bidder-count,bidder-size-numeric,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,total-value,cluster,is_outlier,anomaly_score
a6e513ed-2ea8-4d0f-9629-3f2832275851,230384.0,12.347507101517838,1,,0,1,0,0,0,0,0,0,0,0,230384.0,0,False,8.879038904337423e-06
1b1e0eba-5dcd-40ce-882e-6183adcc0efd,1.0,0.6931471805599453,1,,1,0,0,0,0,0,0,0,0,0,1.0,4,False,0.0
6cf29c56-65bc-4abc-9e74-fda388fcc4cb,13923000.0,16.44905277871502,1,,1,0,0,0,0,0,0,0,0,0,357000000.0,1,False,0.00046605847620052426
c048d842-f7fb-4bfb-a97e-68db4f7d0b86,500000.0,13.122365377402328,1,,0,1,0,0,0,0,0,0,0,0,500000.0,0,False,0.0
cd3dcf79-b98e-4f81-b5ee-1f2d99aedb3b,323013.94,12.685453855005086,1,,1,0,0,0,0,0,0,0,0,0,323013.94,1,False,2.467461534519614e-05
783b2485-148f-487b-8dd8-fe9264abbd2d,1292981.6,14.072462200586882,1,2.5,0,1,0,0,0,0,0,0,0,0,1292981.6,0,False,1.5757467487774747e-05
0bd4b24d-43f6-4ee8-986c-3e157a2d0b79,302000.0,12.618185607609805,1,,0,1,0,0,0,0,0,0,0,0,302000.0,0,False,1.857394602783212e-05
7af96847-4db9-4399-83a1-f5c4423c63ce,2160000.0,14.585619242623205,1,,0,1,0,0,0,0,0,0,0,0,2160000.0,0,False,2.422682990682553e-05
cb463f56-ccdc-4116-b157-59d1bc1b1926,607783.0,13.317574834669504,1,,0,1,0,0,0,0,0,0,0,0,607783.0,0,False,1.0423131631779177e-05
9bedfed5-9f18-4af6-a165-3247d8849297,736000.0,13.508986756405742,1,,0,0,0,0,1,0,0,0,0,0,736000.0,5,False,0.00015832612952543115
a278213d-1387-49e9-82f2-4305b5d34351,540225.0,13.199742849504528,1,,0,1,0,0,0,0,0,0,0,0,540225.0,0,False,6.616161245381246e-06
7b0b74b4-eace-491c-8d6d-5e7dcc0264aa,259900.0,12.468056068255883,1,4.0,0,0,0,0,1,0,0,0,0,0,259900.0,5,False,0.0007318815402112394
6c2c8752-0bc7-4a76-bfad-5b85747f563d,251827.2,12.436502387967314,1,2.0,0,1,0,0,0,0,0,0,0,0,251827.2,0,False,6.970883235973276e-06
f05c41f3-7da4-40d8-8ef0-136848cc0509,1959879.19,14.488393901787315,1,3.0,0,1,0,0,0,0,0,0,0,0,1959879.19,0,False,4.84165138382919e-05
fb99f3be-3f9f-4dbc-a47a-84b51bfa5b33,1327145.0,14.098541329869686,1,,1,0,0,0,0,0,0,0,0,0,1327145.0,1,False,4.684784351131342e-05
e0e05f83-5614-45a7-8506-0449ea19f1e9,13410000.0,16.411511329829075,1,,0,1,0,0,0,0,0,0,0,0,13410000.0,0,False,3.297443349893589e-05
624ec78f-3a88-4b30-b4fc-bd2009a0359e,2607500.0,14.7739028493661,1,,1,0,0,0,0,0,0,0,0,0,2607500.0,1,False,9.136123646018634e-06
79f2a1cb-3b20-4834-ae24-13f3dbe364bd,1526391.6466,14.23841776218552,1,,1,0,0,0,0,0,0,0,0,0,6636485.42,1,False,5.8071060116114276e-05
6bcd54fb-db7a-4cde-85ee-8139af16e711,220272.156,12.3026236733459,1,2.5,0,1,0,0,0,0,0,0,0,0,5648004.0,0,False,4.697131539491088e-05
92cbcadc-5453-4726-907f-ec2ecee203a0,931442.343,13.744490643770847,1,,1,0,0,0,0,0,0,0,0,0,23883137.0,1,False,9.097958877038834e-05
4c9c42dc-3a57-4a88-a62b-cb21e7e95179,1768868.0,14.385850917262488,1,,0,1,0,0,0,0,0,0,0,0,1768868.0,0,False,2.1528521791948582e-05
7474035e-132d-44c2-a376-28e8964b2916,194051.9,12.17588608128729,1,,0,1,0,0,0,0,0,0,0,0,194051.9,0,False,2.8463808856070347e-05
03830246-cbb4-4a85-bd34-c3a1e6f7dc3e,409008.0,12.92149243967281,1,2.0,0,1,0,0,0,0,0,0,0,0,409008.0,0,False,1.4961099285766052e-05
bbc826eb-d42b-45c7-b2e1-03998974f6ff,12141900.0,16.312172921122556,2,4.0,0,1,0,0,0,0,0,0,0,0,12141900.0,0,False,5.453568793367832e-05
112d2161-8b4b-42fc-af34-f5f4e59e4439,3175200.0,14.970881495391737,1,,0,1,0,0,0,0,0,0,0,0,3175200.0,0,False,4.723706709858424e-05
cf234e0c-89ed-424d-a5a7-951c76576777,379139.0,12.845660808995556,1,,1,0,0,0,0,0,0,0,0,0,379139.0,1,False,2.0936062876340972e-05
b88e423f-089c-462f-a040-a10f89554167,0.0,0.0,1,,1,0,0,0,0,0,0,0,0,0,0.0,4,False,0.0
fbb9455d-e621-4097-b804-e834042485d9,537923.4333,13.195473370728507,1,3.0,0,1,0,0,0,0,0,0,0,0,1054751.83,0,False,8.304247884967248e-06
ce2daaa7-d99c-4d2b-8af2-d457ac029714,30088178.0,17.21964292833025,1,,1,0,0,0,0,0,0,0,0,0,30088178.0,1,False,6.904002094444213e-05
ee7d13af-8eae-46e0-865f-227625173f69,8700000.0,15.978833698567334,1,,1,0,0,0,0,0,0,0,0,0,100000000.0,1,False,0.000155730687385016
55590d8d-f8bb-4276-a2d5-6867660601d0,493550.0,13.10938147598115,1,,0,1,0,0,0,0,0,0,0,0,493550.0,0,False,1.2178438543022183e-05
39cb93e5-7528-445e-9b0b-d122edd4bef3,534525.73,13.189137017551348,1,,0,1,0,0,0,0,0,0,0,0,534525.73,0,False,1.4534195628377067e-05
4bad0314-a352-4ecb-9395-0536c6801c98,223202.538,12.315839360618144,1,,1,0,0,0,0,0,0,0,0,0,5723142.0,1,False,5.291091995088854e-05
1770ad21-08d7-45d9-82f8-a6f8333b47a3,1216800.0,14.011735841754628,1,,1,0,0,0,0,0,0,0,0,0,31200000.0,1,False,0.0002069207352863315
96923cdd-64c4-4337-afc7-e82bfa0abee9,585198.27,13.279707700690556,1,,0,0,0,0,0,0,0,1,0,0,585198.27,6,False,0.00036165821874526035
5e44fa6d-4b0c-4ed3-9f29-4bd6bec3cfeb,1061500.0,13.875194502188124,1,,1,0,0,0,0,0,0,0,0,0,1061500.0,1,False,3.5296504678535645e-05
