notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,notice_is_cn-standard,notice_is_pin-only,notice_is_pin-tran,notice_is_pin-rtl,notice_is_cn-social,notice_is_pin-buyer,notice_is_qu-sy,notice_is_corr,notice_is_pin-cfc-social,notice_is_pin-cfc-standard,total-value,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,is_outlier,outlier_status,anomaly_score,prediction_time
336692e0-2edc-4748-9c43-bc8a04465271,105000.0,105000.0,11.561725152903833,1,0,0,0,0,0,0,0,0,0,105000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1702,2025-05-30 11:59:56
681f6ccf-3be2-4c88-b6d6-6363df5a5d0a,100000.0,100000.0,11.51293546492023,1,0,0,0,0,0,0,0,0,0,100000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1702,2025-05-30 11:59:56
491eba52-64e4-4087-9bcb-6f6a79dc8db7,39989.1,39989.1,10.596387202462894,1,0,0,0,0,0,0,0,0,0,78410.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1602,2025-05-30 11:59:56
f826ce24-8389-44b8-9146-e9741d8c1265,1897057.5,1897057.5,14.45581508660719,1,0,0,0,0,0,0,0,0,0,48642500.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1452,2025-05-30 11:59:56
3c76e3db-b2f9-4856-93f0-edb561131a15,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
0552fbfb-b0b1-498b-970a-6a0cf8935c95,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
811b4e38-1335-4850-8a97-59bfe7d2417c,929612.7,929612.7,13.742524402492702,1,0,0,0,0,0,0,0,0,0,929612.7,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1723,2025-05-30 11:59:56
c1e34c3e-aad8-4f29-baf7-ad5c674f18b3,10805317.4,10805317.4,16.19554901532792,1,0,0,0,0,0,0,0,0,0,10805317.4,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1478,2025-05-30 11:59:56
9fefb607-011e-4293-ac45-1e6fddc82abe,1050000.0,1050000.0,13.864301674514206,1,0,0,0,0,0,0,0,0,0,1050000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1734,2025-05-30 11:59:56
92c3942d-67db-4cd0-920a-5ab22c2650e1,1188000.0,1188000.0,13.987782620655215,1,0,0,0,0,0,0,0,0,0,1188000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1743,2025-05-30 11:59:56
222c227f-2fac-4ecb-887e-aae15d2ae038,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
1c6067b7-d83b-44c0-a4e8-0cec23db7e99,95000.0,95000.0,11.461642696843066,1,0,0,0,0,0,0,0,0,0,95000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1702,2025-05-30 11:59:56
8b84336b-6a7b-4259-9357-3766e9f9871d,11220000.0,11220000.0,16.23320854718538,1,0,0,0,0,0,0,0,0,0,22000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1418,2025-05-30 11:59:56
16775761-6863-45ed-aeef-0e44a2005e72,276000.0,276000.0,12.52815976788113,1,0,0,0,0,0,0,0,0,0,1200000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1728,2025-05-30 11:59:56
4f8e70da-35c0-44ae-81a2-4e27a9a27353,2070000.0,2070000.0,14.543059648333225,1,0,0,0,0,0,0,0,0,0,9000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1681,2025-05-30 11:59:56
c1f17633-844d-413a-96a8-79c47f44a5fc,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
0873f677-1cac-4462-9367-15496536ce73,399069.6,399069.6,12.89689362257544,1,0,0,0,0,0,0,0,0,0,399069.6,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1742,2025-05-30 11:59:56
9e165a3f-9bc8-4edf-906c-1647995c313c,1578720.0,1578720.0,14.27212558351534,1,0,0,0,0,0,0,0,0,0,40480000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1482,2025-05-30 11:59:56
519ba571-096b-46e5-9e51-d9d95c06bd79,354000.0,354000.0,12.777055016970678,1,0,0,0,0,0,0,0,0,0,354000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1753,2025-05-30 11:59:56
6c29869f-03bd-42cb-8a2a-9b6d37a55bd1,9570000.0,9570000.0,16.074143867922338,1,0,0,0,0,0,0,0,0,0,110000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.092,2025-05-30 11:59:56
5d8d8cf7-d843-4fe1-b8b2-8ba75e406176,1800000.0,1800000.0,14.403297778421797,1,0,0,0,0,0,0,0,0,0,1800000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1707,2025-05-30 11:59:56
ebdc3318-1d88-4a93-b9dd-22b8a8d0c09a,1043484.0,1043484.0,13.858076630695548,1,0,0,0,0,0,0,0,0,0,26756000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1571,2025-05-30 11:59:56
d297720d-595f-458e-8906-9e8913526108,350000.0,350000.0,12.765691290604371,1,0,0,0,0,0,0,0,0,0,350000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1753,2025-05-30 11:59:56
b590caed-6489-4a5d-b54f-a2c892bd9b7b,371623.86,371623.86,12.82564018357648,1,0,0,0,0,0,0,0,0,0,371623.86,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1753,2025-05-30 11:59:56
d2295725-f8d1-42ea-9aa4-074f205ea8e6,1750000.0,1750000.0,14.375126917328105,1,0,0,0,0,0,0,0,0,0,1750000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1705,2025-05-30 11:59:56
509f7f78-60ed-4ec1-a6f0-26337a226db4,5970000.0,5970000.0,15.60225765287296,1,0,0,0,0,0,0,0,0,0,5970000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1616,2025-05-30 11:59:56
cd0972d9-00a4-46b9-9e4a-cd1036acc2be,414590.73,414590.73,12.935049531848067,1,0,0,0,0,0,0,0,0,0,812923.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1739,2025-05-30 11:59:56
