notice-identifier,total-value-eur,total-value-eur-log,bidder-count,bidder-size-numeric,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,total-value,cluster,is_outlier,distance,anomaly_score
9cd5c267-d700-4105-84fd-730622ab0849,200000.0,12.206077645517674,1,,1,0,0,0,0,0,0,0,0,0,200000.0,2,False,0.022931138458291776,0.007109694387441557
455b4ab5-f3a9-4593-bb03-ab80faf7ceeb,2613600.0,14.776239521882944,1,,1,0,0,0,0,0,0,0,0,0,2613600.0,2,False,0.022931138458291776,0.007109694387441557
ed14dd09-6a03-412b-a3db-e5745ed73132,1542222.5,14.24873576423663,1,,0,1,0,0,0,0,0,0,0,0,1542222.5,1,False,0.08796493737218716,0.02727312569605738
5852fdff-6a06-411e-b464-9c8906f55b37,267100.7,12.49538476373523,1,,0,1,0,0,0,0,0,0,0,0,267100.7,1,False,0.08796493737218716,0.02727312569605738
b90a2b8e-5101-4fae-ae73-d0d2811c103a,1636035.32,14.3077869963874,1,4.0,0,0,0,0,1,0,0,0,0,0,1636035.32,0,False,3.225333918543243,1.0
b6540fc0-b463-4f16-9460-8922ae781e43,90367.39,11.411649817090517,1,2.0,0,1,0,0,0,0,0,0,0,0,90367.39,1,False,0.08796493737218716,0.02727312569605738
990d3d3d-d31c-41b4-aa30-1dc8092663e1,8275931.18,15.928862123033907,1,,0,1,0,0,0,0,0,0,0,0,8275931.18,1,False,0.08796493737218716,0.02727312569605738
2ee32ed5-b1cc-47a1-adc5-0895e6404ba2,10545019.92,16.17116435577166,1,3.0,0,1,0,0,0,0,0,0,0,0,10545019.92,1,False,0.08796493737218716,0.02727312569605738
f8cb2336-1e44-4460-9902-e6d0d3810622,364330.2695,12.805818813790166,1,,0,1,0,0,0,0,0,0,0,0,1584044.65,1,False,0.08796493737218716,0.02727312569605738
629e513b-4c2e-4a8c-89b7-95f858de1d8f,1130350.0,13.938038761925313,1,,0,1,0,0,0,0,0,0,0,0,1130350.0,1,False,0.08796493737218716,0.02727312569605738
ef8d7737-1d35-48fb-a235-5e33718b7f9a,7223.14,8.885183474753996,1,,0,1,0,0,0,0,0,0,0,0,7223.14,1,False,0.08796493737218716,0.02727312569605738
38c27c6f-33b4-4837-91f2-20b97237fe71,204750.0,12.229549885708272,1,,0,1,0,0,0,0,0,0,0,0,5250000.0,1,False,0.08796493737218716,0.02727312569605738
a2621bea-8007-46c9-b5b6-00bfe1d4e8c0,1301056.4376,14.07868790532872,1,,1,0,0,0,0,0,0,0,0,0,5656767.12,2,False,0.022931138458291776,0.007109694387441557
c77fadc5-1ea3-45f7-a441-0e118f17bff5,630000000.0,20.261230378937153,1,,0,1,0,0,0,0,0,0,0,0,630000000.0,1,False,0.08796493737218716,0.02727312569605738
2f2ae87d-07a0-4064-9352-5953b8fafc34,9975882.41,16.1156810792248,1,,0,1,0,0,0,0,0,0,0,0,9975882.41,1,False,0.08796493737218716,0.02727312569605738
c0e7c339-c8ca-4bd9-8868-d8ee3e9eb956,444490.37,13.004685918674506,1,,1,0,0,0,0,0,0,0,0,0,444490.37,2,False,0.022931138458291776,0.007109694387441557
2d428e43-54b2-4261-a03b-509c690b5ece,7605000.0,15.84431661516796,1,,0,1,0,0,0,0,0,0,0,0,7605000.0,1,False,0.08796493737218716,0.02727312569605738
1c0e8fab-9a08-44cb-98d5-27b00d5d6f82,6500000.0,15.687312888712007,1,,1,0,0,0,0,0,0,0,0,0,6500000.0,2,False,0.022931138458291776,0.007109694387441557
13ff5848-5850-4ebc-aea2-1c4826d9de70,764714.95,13.547259736667549,1,,1,0,0,0,0,0,0,0,0,0,764714.95,2,False,0.022931138458291776,0.007109694387441557
9f6a2289-e0ca-4114-8111-ad85b66f487d,1064754.1,13.878255377630763,1,4.0,0,1,0,0,0,0,0,0,0,0,1064754.1,1,False,0.08796493737218716,0.02727312569605738
464687e4-5819-4216-a1e0-f24ae49cc28c,344000.0,12.748399843328054,1,,1,0,0,0,0,0,0,0,0,0,4000000.0,2,False,0.022931138458291776,0.007109694387441557
132222bb-b5f3-4298-9038-aed66aaa44bd,148459.46,11.908073939144442,1,4.0,0,1,0,0,0,0,0,0,0,0,148459.46,1,False,0.08796493737218716,0.02727312569605738
9b21d39a-771a-4574-9216-466bda305037,892005.36,13.701228541581573,1,,1,0,0,0,0,0,0,0,0,0,892005.36,2,False,0.022931138458291776,0.007109694387441557
5aa2ddd5-6d0d-4b93-90ba-bce4b1ccd94b,267900.0,12.498372788261827,1,4.0,0,1,0,0,0,0,0,0,0,0,267900.0,1,False,0.08796493737218716,0.02727312569605738
4a6d267e-7781-42ac-9062-dd2c47401c5d,515250.0,13.152409439556257,1,,1,0,0,0,0,0,0,0,0,0,515250.0,2,False,0.022931138458291776,0.007109694387441557
7d689f38-6e93-4bb4-aed9-155a3972a0cc,14546206.74,16.492840881184083,1,,1,0,0,0,0,0,0,0,0,0,14546206.74,2,False,0.022931138458291776,0.007109694387441557
62047bda-836c-4043-a42b-f6f5464a1d94,1.0,0.6931471805599453,1,,1,0,0,0,0,0,0,0,0,0,1.0,2,False,0.022931138458291776,0.007109694387441557
f3846474-6fbb-4326-bfa2-95b94eb32e22,71123.0,11.17218011157584,1,,1,0,0,0,0,0,0,0,0,0,71123.0,2,False,0.022931138458291776,0.007109694387441557
de40840b-875e-485f-b652-890a0d68c79f,987350.67,13.802781556880186,1,4.0,0,1,0,0,0,0,0,0,0,0,987350.67,1,False,0.08796493737218716,0.02727312569605738
5a95e00d-37d6-4d08-9491-750dfa796c82,405000.0,12.91164481522143,1,4.0,0,1,0,0,0,0,0,0,0,0,405000.0,1,False,0.08796493737218716,0.02727312569605738
b1ef6916-95d0-4cac-b61f-26079112d75d,860500.0,13.665270056748104,1,2.5,0,1,0,0,0,0,0,0,0,0,860500.0,1,False,0.08796493737218716,0.02727312569605738
a1e3117e-ff2d-40db-b0b3-a9d39d553a52,942000.0,13.755761615129062,1,,0,1,0,0,0,0,0,0,0,0,942000.0,1,False,0.08796493737218716,0.02727312569605738
