notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_veat,notice_is_pin-only,notice_is_cn-social,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_cn-desg,notice_is_can-social,notice_is_pin-buyer,total-value
4b0ecb6a-7268-4466-a960-4ad8caeac3f3,327528.0,327528.0,12.699331879755478,0,,1,0,0,0,0,0,0,0,0,0,327528.0
318135f7-e785-43bf-a398-d6e76a792362,961996.0,961996.0,13.776766611139863,0,,1,0,0,0,0,0,0,0,0,0,961996.0
0303bc24-144e-427b-8ef7-f72e70bd7386,0.01,0.01,0.009950330853168083,1,2.5,0,0,1,0,0,0,0,0,0,0,0.01
4ae97410-88fe-4b06-affa-d015ed319c31,12851529.0,12851529.0,16.368973428365553,4,3.0,0,1,0,0,0,0,0,0,0,0,12851529.0
06a99c95-32c0-4915-a645-fc8cc2c81fb4,3567784.0,3567784.0,15.087455513018927,0,,1,0,0,0,0,0,0,0,0,0,3567784.0
263a4021-2ae7-4bd9-aa2d-4050fd5b7298,256346.0,256346.0,12.454287274393222,2,4.0,0,1,0,0,0,0,0,0,0,0,256346.0
722ad411-ed48-486e-a746-9fa5d063cc86,10000000.0,10000000.0,16.118095750958314,0,,1,0,0,0,0,0,0,0,0,0,10000000.0
30909764-db3f-4edd-b0c6-3b510fbd8c24,12180000.0,12180000.0,16.315305902347827,0,,1,0,0,0,0,0,0,0,0,0,140000000.0
15ac6dce-2c2d-4faf-86b5-e24f84e8379c,8810994.52,8810994.52,15.991510990393397,1,3.0,0,1,0,0,0,0,0,0,0,0,8810994.52
74f644ed-e914-4a38-9e4b-0bfa97ac598a,1305000.0,1305000.0,14.081714365022162,0,,1,0,0,0,0,0,0,0,0,0,15000000.0
ddd981a2-fb05-4def-a3b8-6907d1b73e3e,500000.0,500000.0,13.122365377402328,0,,0,1,0,0,0,0,0,0,0,0,500000.0
88c8bab9-76c2-4bb6-a42e-ff4e6b47c435,1344029.52,1344029.52,14.111183508140735,1,3.0,0,1,0,0,0,0,0,0,0,0,1344029.52
6b103fb4-40c0-48a8-8edb-1416cdda12cd,869999.9999999999,869999.9999999999,13.676249640055394,0,,1,0,0,0,0,0,0,0,0,0,10000000.0
16b3b160-02e1-4edc-ace9-418f5e29162a,1920000.0,1920000.0,14.467836264837162,0,,1,0,0,0,0,0,0,0,0,0,1920000.0
e72fcc29-a7a4-49d6-bde6-fd1f6bb8cb3f,2542612.72,2542612.72,14.748703133534887,9,4.0,0,1,0,0,0,0,0,0,0,0,2542612.72
1543fa30-b361-4d46-83ee-f577b5670766,198870.0,198870.0,12.200411652301424,2,4.0,0,1,0,0,0,0,0,0,0,0,198870.0
a0dfaa16-0128-4bf5-8584-006c80dc5113,441468037.35,41537332.48450003,19.905616182069533,1,3.0,0,1,0,0,0,0,0,0,0,0,441468037.35
ed114e47-91ee-4bb8-944d-c430447c0fbd,75000000.0,41537332.48450003,18.132998684833918,0,,1,0,0,0,0,0,0,0,0,0,75000000.0
e644151e-be22-4631-b9cb-9a98cd13865e,2244276.01,2244276.01,14.623893982747582,0,,1,0,0,0,0,0,0,0,0,0,2244276.01
85187702-fb24-41b8-9676-82e076d0788b,408053.1,408053.1,12.919155042635172,0,,0,1,0,0,0,0,0,0,0,0,408053.1
85331054-0c2a-4a9f-bae4-9c1cc5b87947,780000.0,780000.0,13.567050480716235,0,,1,0,0,0,0,0,0,0,0,0,780000.0
f7cfce1a-c1ab-4d5b-9186-7f89c430a19e,251280.0,251280.0,12.434327113828934,1,2.0,0,1,0,0,0,0,0,0,0,0,251280.0
e032ac3f-9d7f-4689-9c0a-3119bcdf60fc,4598080.27,4598080.27,15.34114965922518,0,,0,1,0,0,0,0,0,0,0,0,4598080.27
8896d091-12b7-43e8-9fb7-960a0ce0f734,2195976.0,2195976.0,14.602137607968368,0,,0,1,0,0,0,0,0,0,0,0,2195976.0
bdb43f7f-a5e0-43c0-979d-e368d10369a3,242400.0,242400.0,12.398348658581329,0,,0,1,0,0,0,0,0,0,0,0,242400.0
33a3d8fb-9d3b-4d12-a920-d5a82029db75,1825083.47,1825083.47,14.417136828859121,0,,0,1,0,0,0,0,0,0,0,0,1825083.47
84bf9540-7439-47af-8c5e-fa432465afae,850000.0,850000.0,13.652992804936396,0,,1,0,0,0,0,0,0,0,0,0,850000.0
5ebf64bf-325a-42fc-932d-0ad0f208259b,4244782.81,4244782.81,15.261201448279937,4,4.0,0,1,0,0,0,0,0,0,0,0,4244782.81
d520061c-39cb-4944-a192-d9ba6d5fab72,262500.0,262500.0,12.47801017053037,0,,0,1,0,0,0,0,0,0,0,0,262500.0
fb3fe51d-87fd-4462-98b6-4050d088a6a4,4109700.47,4109700.47,15.22886094879787,0,,1,0,0,0,0,0,0,0,0,0,4109700.47
2a3b87ac-1322-4f4c-b477-0d5a3e188034,750365.94,750365.94,13.528317619200438,0,,0,1,0,0,0,0,0,0,0,0,750365.94
f2ea96c1-074d-4455-ae8c-6d6c5c6bc719,185010.0,185010.0,12.128170561752277,0,,0,1,0,0,0,0,0,0,0,0,185010.0
fb099525-00aa-44be-99b9-163b60539de9,609992.25,609992.25,13.321203170514499,1,4.0,0,1,0,0,0,0,0,0,0,0,609992.25
4f0dbf48-6ed3-41ce-801b-9ab6f76f92c2,254636.694,254636.694,12.447597005992883,0,,0,1,0,0,0,0,0,0,0,0,6529146.0
e6d5adf7-7190-403b-b21b-1af531b09715,0.0,0.0,0.0,0,,0,1,0,0,0,0,0,0,0,0,0.0
39e43522-03da-4cdb-bdaf-eac7f5742391,6000000.0,6000000.0,15.607270193858982,0,,1,0,0,0,0,0,0,0,0,0,6000000.0
19a38b5b-518e-48ff-b3d2-835b891f1752,900000.0,900000.0,13.710151153416941,0,,0,0,0,0,0,1,0,0,0,0,900000.0
cdb21635-16c1-4a83-8235-1290386f4443,1977600.0,1977600.0,14.49739505190881,1,3.0,0,1,0,0,0,0,0,0,0,0,1977600.0
dc46f058-5a8e-496e-8a61-670c944f4ef6,16000000.0,16000000.0,16.588099342704055,0,,1,0,0,0,0,0,0,0,0,0,16000000.0
6326b7e1-d88f-44a4-b231-d02898397fe6,212548.05,212548.05,12.266928064240368,1,2.5,0,1,0,0,0,0,0,0,0,0,5449950.0
5b28fc37-9476-4503-979b-b0fb50466738,937113.6,937113.6,13.75056085897134,0,,1,0,0,0,0,0,0,0,0,0,937113.6
3aa277a0-f6e8-4f50-83ac-b70e83fcb662,174000.0,174000.0,12.066816325306588,0,,0,1,0,0,0,0,0,0,0,0,174000.0
f513cee6-eae8-42d7-a08f-94b76f0b8bd7,181794.32460000002,181794.32460000002,12.110636743123093,2,2.5,0,1,0,0,0,0,0,0,0,0,356459.46
ce93d5c8-3497-43f8-a4f9-fa48efd48384,1212439.08,1212439.08,14.008145482015937,10,2.5,0,1,0,0,0,0,0,0,0,0,1212439.08
1fac93d3-f5bb-4dd8-863a-29d662ea48b4,70000000.0,41537332.48450003,18.064005814299346,0,,0,0,0,1,0,0,0,0,0,0,70000000.0
4b94a1ad-563e-441e-8925-330afee355de,18661.35,18661.35,9.834263404306773,0,,0,1,0,0,0,0,0,0,0,0,18661.35
2bafb6a7-eda8-4250-a3a1-3f2d7442d091,117000000.0,41537332.48450003,18.57768450130904,0,,1,0,0,0,0,0,0,0,0,0,117000000.0
b89a2460-0ec1-42aa-a6fb-9c777225faba,230471.0,230471.0,12.347884658985919,0,,0,1,0,0,0,0,0,0,0,0,230471.0
3f4fbf1c-e69a-4f31-9de2-4f756cda855a,4103514.15,4103514.15,15.227354518015357,0,,1,0,0,0,0,0,0,0,0,0,4103514.15
