notice-identifier,dps-usage-lot,notice-type,publication-number,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,estimated-value-cur-proc,total-value,exclusion-grounds,accessibility-lot,procedure-accelerated,framework-buyer-categories-lot.hrv,legal-basis-proc,legal-basis-text.pol,no-negocaition-necessary-lot,legal-basis-text.ces,direct-award-justification-proc,framework-buyer-categories-lot.bul,legal-basis-text.fra,legal-basis-text.deu,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,notice_is_cn-standard,notice_is_pin-only,notice_is_pin-tran,notice_is_pin-rtl,notice_is_cn-social,notice_is_pin-buyer,notice_is_qu-sy,notice_is_corr,notice_is_pin-cfc-social,notice_is_pin-cfc-standard
c266c1b5-8c01-48b3-8c83-0f58877a9e97,none|none,cn-standard,133-2025,32014L0024,FRA|FRA|FRA|FRA,,c0d811eb-0167-4dd0-b059-59e9a630136b,,,nati-ground,,False,,,,False|False,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
ba545bc8-89c8-41a5-b456-739b5bd52342,,pin-buyer,138-2025,32014L0024,ITA,,,,,,,,,"Il termine di presentazione delle proposte relative all’avviso in oggetto, è stato prorogato al 17/01/2025, ore 12.00.",,,,,,,,EUR,,,False,0.0,0,0,0,0,0,1,0,0,0,0
ef4ba2a7-0244-4a23-b1f8-9fc65c594408,none,cn-standard,140-2025,32014L0024,SWE,,74f861de-87ed-4f0f-ab59-14ff5915e651,SEK,9800000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|nati-ground|socsec-law|envir-law|labour-law|bankruptcy|insolvency|cred-arran|bankr-nat|liq-admin|susp-act|prof-misconduct|distorsion|partic-confl|prep-confl|sanction|misrepresent,,False,,,,,,,,,,SEK,852599.9999999999,852599.9999999999,False,13.656046956195505,1,0,0,0,0,0,0,0,0,0
c26e6b1b-b25b-467b-b371-aa101c428da8,none,cn-standard,143-2025,32014L0025,HRV,EUR,2e3baa9d-806f-4622-b776-2e9926093a46,EUR,5000000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|bankruptcy|insolvency|liq-admin|cred-arran|susp-act|bankr-nat|sanction|misrepresent,n-inc,,,,,,,,,,,EUR,5000000.0,5000000.0,False,15.424948670398354,1,0,0,0,0,0,0,0,0,0
9d34d0d1-e954-4108-b15f-6f24881dd6f1,,pin-tran,154-2025,32007R1370,POL,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,0,1,0,0,0,0,0,0,0
ad3bcbc2-edf1-48a3-94c9-f3d4cd613059,none,cn-standard,165-2025,32014L0025,POL,,df1ecebf-8ebb-45a7-80a6-6fed1f917c65,,,exg-sitn-liq-admin|exg-mis-prep-confl|exg-sitn-as-susp|exg-sitn-other|exg-mis-partic-confl|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-env-law|exg-mis-bre-lab-law|exg-mis-bre-soc-law|exg-sitn-insolvency|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-mis-sanction|exg-crim-part|exg-sitn-cred-arran|exg-sitn-bankr|exg-mis-misconduct|exg-mis-misrepresent,,False,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
2a943159-7342-41a6-93ea-5782acbb63b7,none|none|none|none,cn-standard,171-2025,32014L0024,FRA,EUR,7730bd0e-1be0-404b-bf09-dcbb340620c1,EUR,2000000.0,nati-ground,,False,,,,False|False|False|False,,,,,,EUR,2000000.0,2000000.0,False,14.508658238524095,1,0,0,0,0,0,0,0,0,0
671dcf60-afdf-4b4b-8c20-3b0a209d5acd,none|none,cn-standard,174-2025,32014L0024,LTU,EUR,0c53c3b8-f4a9-4264-acf4-96e6c29ce52f,EUR,0.0,misrepresent|nati-ground|partic-confl|prep-confl|prof-misconduct|sanction|socsec-pay|tax-pay|terr-offence|corruption|crime-org|distorsion|finan-laund|fraud|human-traffic,,False,,,,,,,,,,EUR,0.0,0.0,False,0.0,1,0,0,0,0,0,0,0,0,0
59214635-8de1-4154-a162-9de788d79d57,none,cn-standard,192-2025,32014L0024,HRV,EUR,d224b01d-146d-4d1e-b0da-5ecc26e03251,EUR,597250.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay,n-inc,,,,,,,,,,,EUR,597250.0,597250.0,False,13.300092739527383,1,0,0,0,0,0,0,0,0,0
8fec4c96-3023-4971-b790-4defe242341a,,pin-tran,193-2025,32007R1370,POL,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,0,1,0,0,0,0,0,0,0
892895cf-9b04-417e-916d-b118d256d707,none,cn-standard,195-2025,32014L0024,HRV,EUR,de26c50a-976c-4434-ab8e-dfc9b42c3ebc,EUR,9003526.53,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay,n-inc,,,,,,,,,,,EUR,9003526.53,9003526.53,False,16.013127006286805,1,0,0,0,0,0,0,0,0,0
18be2b30-fc98-45d2-9620-de1f8a14391c,none,cn-standard,214-2025,32014L0024,POL,,32ac4186-88f4-497b-b84c-38c12fdd9d94,,,nati-ground|prep-confl|corruption|fraud|labour-law|socsec-pay|tax-pay|distorsion|human-traffic|finan-laund|terr-offence|crime-org,,,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
735de6a4-d7f6-420e-88b1-24878e9df499,none,cn-standard,220-2025,32014L0024,CZE,CZK,9a5fc6e8-1a6b-4c87-9541-c40d532caa41,CZK,60000000.0,nati-ground,,False,,32014L0024|134/2016 Sb.,,,"['Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES', 'Zákon o zadávání veřejných zakázek']",,,,,CZK,2340000.0,2340000.0,False,14.66566191468422,1,0,0,0,0,0,0,0,0,0
0fec2b59-fae3-4a7e-9f46-f5bb71a7caa9,none,cn-standard,227-2025,32014L0024,FRA,,1bcd5975-fbe5-4a7b-9ddf-fe4c794243b4,,,nati-ground,,,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
410e0056-c982-4be7-81a3-72826d727f7f,,pin-tran,229-2025,32007R1370,POL,,,,,,,,,,,,,serv-excl,,,,EUR,,,False,0.0,0,0,1,0,0,0,0,0,0,0
ba4fc1c3-7bbb-4bbf-aaaa-ce25f0b3735f,none,cn-standard,232-2025,32014L0024,FRA,,8ab4f433-96ea-440a-9eeb-7fb2382c8a15,,,nati-ground,,False,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
9dac21de-6a2a-4068-b499-557b25a638d9,,pin-only,248-2025,32014L0024,ITA,,,EUR,1800000.0,,,,,,,,,,,,,EUR,1800000.0,1800000.0,False,14.403297778421795,0,1,0,0,0,0,0,0,0,0
619f4f27-4620-488b-aedb-d8382e7221f1,none,cn-standard,251-2025,32014L0024,DEU,,ebfc27c8-b758-49b0-8d88-fb2be9a9b5a9,,,distorsion,,False,,vob-a-eu,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
3365f0ae-72d8-4160-a2f6-4d15581a3271,,cn-standard,255-2025,32014L0023,ESP,EUR,db64055b-c8dd-4d0e-8c39-cd31e3a97f16,EUR,54048000.0,,,,,,,,,,,,,EUR,54048000.0,27807499.999999966,True,17.805383117091736,1,0,0,0,0,0,0,0,0,0
e81622b2-b5c5-4593-b523-4bc062ab8319,none,cn-standard,256-2025,32014L0025,ITA,EUR,63eb1093-e6c8-4504-bf8e-9661da22256a,EUR,640000.0,,,False,,,,,,,,,,EUR,640000.0,640000.0,False,13.369225017834633,1,0,0,0,0,0,0,0,0,0
e9363a4b-15b3-4d7c-9dd9-bbbaa1fdab2d,none,pin-cfc-social,257-2025,32014L0024,GRC,,c29c0d64-97b4-4231-985e-77d5f3f3e6cf,EUR,280000.0,,,,,,,,,,,,,EUR,280000.0,280000.0,False,12.54254845357358,0,0,0,0,0,0,0,0,1,0
6fc80993-0cf3-44c5-bc70-61fedc888e3f,none|none,cn-standard,261-2025,32014L0024,SWE,,b479da3d-5817-49cb-a3aa-e46b67de35b0,SEK,10800000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|nati-ground|socsec-law|envir-law|labour-law|bankruptcy|insolvency|cred-arran|bankr-nat|liq-admin|susp-act|prof-misconduct|distorsion|partic-confl|prep-confl|sanction|misrepresent,,False,,,,,,,,,,SEK,939599.9999999999,939599.9999999999,False,13.753210596049001,1,0,0,0,0,0,0,0,0,0
9bb1e492-d096-42cf-bf01-87f74ad0f02a,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,275-2025,32014L0024,PRT,EUR,397c518b-5310-4186-9b5e-af126d012dfd,EUR,24027430.0,,,False,,,,,,,,,,EUR,24027430.0,24027430.0,False,16.994706693965952,1,0,0,0,0,0,0,0,0,0
a6c082ad-da0f-4d40-85ed-55f48c091d96,none,cn-standard,283-2025,32014L0024,CZE,CZK,8f5cbf7b-2818-4cf8-9350-72c625d2685c,CZK,15400000.0,nati-ground,,,,32014L0024|134/2016 Sb.,,,"['Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES', 'Zákon o zadávání veřejných zakázek']",,,,,CZK,600600.0,600600.0,False,13.305686099531647,1,0,0,0,0,0,0,0,0,0
d0a6f651-6a01-4a23-acb1-9c026a72fafd,none|none|none|none,cn-standard,296-2025,32014L0024,FRA,EUR,14a107b5-3ea6-4951-a00e-b57dac5126d7,EUR,16200000.0,nati-ground,,False,,,,False|False|False|False,,,,,,EUR,16200000.0,16200000.0,False,16.600521861931007,1,0,0,0,0,0,0,0,0,0
0a573518-99c2-401e-a36d-d029879e8c81,none,cn-standard,298-2025,32014L0024,FRA,EUR,267d1463-f52b-4a37-9497-aaefe80a96cd,EUR,600000.0,nati-ground,,False,,,,,,,,,,EUR,600000.0,600000.0,False,13.304686600863562,1,0,0,0,0,0,0,0,0,0
906e7f04-ede3-443d-8727-465445b5dc69,,pin-only,299-2025,32014L0024,ITA,,,EUR,3000000.0,,,,,,,,,,,,,EUR,3000000.0,3000000.0,False,14.914123179965662,0,1,0,0,0,0,0,0,0,0
6416d359-21db-46a5-bf04-a6975a57ab6b,none,cn-standard,311-2025,32014L0024,ITA,EUR,a9a31378-303e-478f-adf5-481263a38826,EUR,703800.0,bankr-nat|bankruptcy|corruption|cred-arran|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|nati-ground|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,False,,,,,,,,,,EUR,703800.0,703800.0,False,13.46425092472681,1,0,0,0,0,0,0,0,0,0
d88e727a-00ee-456d-9171-aab2e9352b13,none,cn-standard,316-2025,32014L0024,HRV,EUR,2637c97c-9cb2-4f15-a4c1-406940d9b109,EUR,464800.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|bankruptcy|insolvency|liq-admin|cred-arran|susp-act|bankr-nat,n-inc,,,,,,,,,,,EUR,464800.0,464800.0,False,13.049364635980519,1,0,0,0,0,0,0,0,0,0
93e35ba2-ba4d-479d-9760-551d0126ae6c,dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list|dps-list,cn-standard,322-2025,32014L0025,ROU,RON,4f047197-a7b1-49bd-8c84-db6b72d4f966,RON,400800000.0,,,False,,,,,,,,,,RON,80160000.0,27807499.999999966,True,18.199535207775877,1,0,0,0,0,0,0,0,0,0
336692e0-2edc-4748-9c43-bc8a04465271,none,cn-standard,323-2025,32014L0024,LTU,EUR,376f3ea2-39ba-4033-9002-1986b54dd92b,EUR,105000.0,envir-law|labour-law|socsec-law|finan-laund|misrepresent|prof-misconduct|socsec-pay|distorsion|fraud|cred-arran|bankruptcy|susp-act|sanction|terr-offence|prep-confl|human-traffic|bankr-nat|crime-org|partic-confl|nati-ground|corruption|liq-admin|tax-pay|insolvency,,False,,,,,,,,,,EUR,105000.0,105000.0,False,11.561725152903833,1,0,0,0,0,0,0,0,0,0
681f6ccf-3be2-4c88-b6d6-6363df5a5d0a,none,cn-standard,331-2025,32014L0024,LTU,EUR,afdb95a1-8edb-4093-8bf9-1bb328fa84ac,EUR,100000.0,distorsion|partic-confl|prep-confl|sanction|misrepresent|nati-ground|crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|prof-misconduct,,False,,,,,,,,,,EUR,100000.0,100000.0,False,11.51293546492023,1,0,0,0,0,0,0,0,0,0
cee0c09e-4264-4458-a3c8-573b39924f2b,none,cn-standard,333-2025,32014L0024,POL,,cf082f43-b73b-483e-bd1c-ef54a3ac53a6,,,susp-act|liq-admin|bankr-nat|corruption|fraud|insolvency|socsec-pay|tax-pay|nati-ground|distorsion|finan-laund|terr-offence|sanction|crime-org|cred-arran|bankruptcy|prof-misconduct|misrepresent,,,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
491eba52-64e4-4087-9bcb-6f6a79dc8db7,none|none,cn-standard,334-2025,32014L0024,BGR,BGN,0b2bb9c9-1deb-482c-be64-dcee9b5ba607,BGN,78410.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|envir-law|socsec-law|labour-law|prep-confl|partic-confl|misrepresent|nati-ground|bankruptcy|insolvency|cred-arran|bankr-nat|liq-admin|susp-act|distorsion|sanction|misrepresent,n-inc|n-inc,False,,,,,,,,,,BGN,39989.1,39989.1,False,10.596387202462894,1,0,0,0,0,0,0,0,0,0
f826ce24-8389-44b8-9146-e9741d8c1265,none|none,cn-standard,337-2025,32014L0024,CZE,CZK,6cd84709-5f69-46b0-825d-23e34e7e5bbb,CZK,48642500.0,nati-ground,,,,32014L0024|134/2016 Sb.,,,"['Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES', 'Zákon o zadávání veřejných zakázek']",,,,,CZK,1897057.5,1897057.5,False,14.45581508660719,1,0,0,0,0,0,0,0,0,0
99fab6df-1812-4b1f-9c2d-e1839d75af33,none,cn-standard,342-2025,32014L0025,POL,,7c8cec51-b1a6-4bf3-8a6a-b46514155b2f,,,exg-sitn-liq-admin|exg-mis-prep-confl|exg-sitn-as-susp|exg-sitn-other|exg-mis-partic-confl|exg-crim-corrpt|exg-crim-fraud|exg-sitn-insolvency|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-mis-sanction|exg-crim-part|exg-sitn-cred-arran|exg-sitn-bankr|exg-mis-misconduct|exg-mis-misrepresent,,False,,"Ustawa z dnia 11 września 2019 r. Prawo zamówień publicznych (Dz.U. z 2024 r. poz. 1320), zwana dalej Ustawa PZP",,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
3c76e3db-b2f9-4856-93f0-edb561131a15,,pin-only,345-2025,other,POL,,,PLN,0.0,,,,,Bezpośrednie udzielenie zamówień na małą skalę (art. 5 ust. 4 rozporządzenia 1370/2007),"['Art. 23 ust. 1 pkt 1 w związku z art. 19 ust. 1 pkt 3 ustawy z dnia 16 grudnia 2010 r. o publicznym transporcie zbiorowym (t.j. Dz. U. z 2023 r., poz. 2778)']",,,,,,,PLN,0.0,0.0,False,0.0,0,1,0,0,0,0,0,0,0,0
