notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-only,notice_is_cn-social,notice_is_pin-rtl,notice_is_veat,notice_is_can-social,notice_is_can-desg,notice_is_cn-desg,total-value
62f09435-2c03-448d-b9c7-2e930de51faf,4181265.0,4181265.0,15.24612462945823,0,,0,0,1,0,0,0,0,0,0,0,4181265.0
97a60aee-de87-4ee7-88fc-abe3f18a645e,268930.0,268930.0,12.502210120104586,0,,0,1,0,0,0,0,0,0,0,0,268930.0
c5bf714f-3dc6-45f3-bb61-830cc03a8c75,30000.0,30000.0,10.308985993422082,0,,1,0,0,0,0,0,0,0,0,0,30000.0
3d1874dd-04a7-4576-bbf3-05a28805e940,66500.0,66500.0,11.104972264124868,0,,0,0,0,0,0,0,0,1,0,0,66500.0
b5dfa53f-4635-4fb7-971f-3952e88d2841,21000.0,21000.0,9.952325334619427,0,,1,0,0,0,0,0,0,0,0,0,21000.0
0a84a6de-4500-4be1-b7e9-019b3b40e5f5,5477.8,5477.8,8.608641377860666,2,1.0,1,0,0,0,0,0,0,0,0,0,5477.8
189807ad-0653-4eba-9bf2-cec1c62a42dd,326430.0,326430.0,12.695973873052399,6,2.5,1,0,0,0,0,0,0,0,0,0,326430.0
fa505a0c-21bf-4527-a105-abf4c0dbb1de,797701.47,797701.47,13.589490962296583,50,2.0,1,0,0,0,0,0,0,0,0,0,797701.47
63c0fd1b-ac44-4e5f-9b91-5c03da495e92,1013858.0,1013858.0,13.829274400210027,1,2.5,1,0,0,0,0,0,0,0,0,0,1013858.0
97de4ccc-05bb-4e92-84c0-cd2a0a6602fc,2132000.0,2132000.0,14.572571533310914,0,,0,1,0,0,0,0,0,0,0,0,2132000.0
3eb031a0-82c7-4cc7-ae85-4f4b7df602d5,52450.0,52450.0,10.867634679419623,1,3.0,1,0,0,0,0,0,0,0,0,0,52450.0
4c644151-65c7-4791-9e59-2d1b732d8ea8,105270.91,105270.91,11.564301900901425,1,2.0,1,0,0,0,0,0,0,0,0,0,105270.91
001bf14f-d670-437d-b2eb-307a329687e9,0.0,0.0,0.0,0,,0,1,0,0,0,0,0,0,0,0,0.0
9ff18072-5638-416a-9b1c-2e242c9ca525,1004178.14874,1004178.14874,13.81968099831618,1,4.0,1,0,0,0,0,0,0,0,0,0,25748157.66
ecf8dc3e-75ac-4704-aa41-ab06f07cb1f5,170207.4,170207.4,12.044778847605084,5,2.5,1,0,0,0,0,0,0,0,0,0,333740.0
5900064d-5ed8-4275-8809-1e1cb1d7091f,15517.616399999999,15517.616399999999,9.649795640278622,1,2.5,1,0,0,0,0,0,0,0,0,0,397887.6
5da7b764-5526-4c9f-9c89-5566f37432c4,218000.0,218000.0,12.292254928916668,0,,1,0,0,0,0,0,0,0,0,0,218000.0
86def73e-eff2-4218-8ab5-f3914efaa324,8754.15,8754.15,9.077397377640002,1,2.5,1,0,0,0,0,0,0,0,0,0,17165.0
e9372674-47ea-46f3-b3f0-42aa861d1f0d,4400000.0,4400000.0,15.29711532616119,1,3.0,1,0,0,0,0,0,0,0,0,0,4400000.0
a90cf458-d964-4a94-95a5-8be0063d9c72,4718583.29,4718583.29,15.36701937401185,1,4.0,1,0,0,0,0,0,0,0,0,0,4718583.29
723a89bd-f677-41d2-84c3-13b7cb83b55b,12522.54,12522.54,9.435365352292353,1,2.5,1,0,0,0,0,0,0,0,0,0,24554.0
0cfd7866-2d4f-4efb-bd58-30cae5aeb4e6,105940.0,105940.0,11.570637614359235,1,2.0,1,0,0,0,0,0,0,0,0,0,105940.0
0980f72d-a4cd-4945-b1a7-d3626718f2ff,25000.0,25000.0,10.12667110305036,0,,1,0,0,0,0,0,0,0,0,0,25000.0
fab85084-ca81-45a7-96db-dbb31c6da11f,53189.4453,53189.4453,10.881634059575731,1,2.5,1,0,0,0,0,0,0,0,0,0,104293.03
77193c62-88b2-4a4c-acb1-59ca120bdc82,4736620.0,4736620.0,15.370834570260879,0,,0,1,0,0,0,0,0,0,0,0,4736620.0
2e7e1fc9-fb42-4cba-8f61-b0e5dc70b8dc,8389000.0,8389000.0,15.942432001032143,3,3.0,1,0,0,0,0,0,0,0,0,0,8389000.0
770fdf96-020e-4eb1-85b1-6ef0e837e965,3471000.0,3471000.0,15.059953582945294,0,,0,1,0,0,0,0,0,0,0,0,89000000.0
fa327350-4f63-4423-b240-d51e8749e1c8,360000.0,360000.0,12.793862088206213,1,2.5,1,0,0,0,0,0,0,0,0,0,360000.0
3cc8e6e4-1fcd-46fa-be9e-202ac59d3f77,305128.0,305128.0,12.628489916990736,1,1.0,1,0,0,0,0,0,0,0,0,0,305128.0
5e739d98-927b-4af8-965c-5d2bf743705e,82274.4,82274.4,11.317827435543872,1,2.5,1,0,0,0,0,0,0,0,0,0,2109600.0
33db75a4-1990-4ae5-a75c-2979d808b2b6,2849920.0,2849920.0,14.8628018325624,0,,1,0,0,0,0,0,0,0,0,0,2849920.0
8285c963-574c-43a2-a458-3d26d46204ac,29315.52,29315.52,10.285906458642556,1,2.5,1,0,0,0,0,0,0,0,0,0,751680.0
7fda9239-564e-4975-9edd-2a51910683cb,327055.75,327055.75,12.697888982222395,1,1.0,1,0,0,0,0,0,0,0,0,0,327055.75
3efe3dcc-1704-4a86-8568-1e1386333878,3191086.22,3191086.22,14.97587223801125,1,2.5,1,0,0,0,0,0,0,0,0,0,15955431.1
