notice-identifier,dps-usage-lot,notice-type,exclusion-grounds,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,legal-basis-proc,procedure-identifier,winner-selection-status,winner-size,estimated-value-cur-lot,total-value,estimated-value-cur-proc,winner-owner-nationality,direct-award-justification-text-proc.deu,direct-award-justification-proc,no-negocaition-necessary-lot,accessibility-lot,legal-basis-text.deu,framework-value-notice,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy
9214b70e-20c3-467a-a875-fd34db21562a,none|none|none,can-standard,,188085-2025,False,32014L0024,DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU|DEU,vgv,91637904-f903-477e-a445-757954410ffd,selec-w|selec-w|clos-nw,large|large|large,,4628103.0,,DEU|DEU|DEU,,,,,,,EUR,4628103.0,4628103.0,False,15.347657838953326,3,large,4.0,0,1,0,0,0,0,0,0,0
764d4692-7610-4677-8db2-fec93c86c86a,none|none|none|none,cn-standard,corruption|finan-laund|human-traffic|socsec-pay,188090-2025,False,32014L0024,DEU,vob-a-eu,05cee098-0697-4bc1-8c12-d1a2a8b5e0ca,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
eaaecdf8-f16d-482a-b21f-ab79bc5f9754,none,cn-standard,bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,188093-2025,False,32014L0024,DEU,vgv,5ea976a6-fc44-4a2e-a92a-3d8cddafcfc8,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
5c56d665-7bb2-4c5c-ba45-38e0ea02ed3c,none,cn-standard,bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence|nati-ground,188094-2025,False,32014L0024,DEU,vgv,b967e0e8-4c80-4388-8685-e832eec90d47,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
83204829-baa9-44b2-9167-9def925d97f4,none|none|none|none|none,can-standard,,188095-2025,False,32014L0025,DEU,sektvo,9e956bb2-d75d-4908-8df7-4fe57c308c7f,clos-nw|clos-nw|clos-nw|clos-nw|clos-nw,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0
f49a1a05-8cc3-4d9d-8a52-c9cd5176cff7,none,cn-standard,exg-natl-bre-nat-law,188098-2025,False,32014L0024,DEU,vob-a-eu,ecfc3f14-24b9-415b-a785-2a7d689cac0c,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
77a90bdd-c5f0-4400-a193-300558786117,none,cn-standard,socsec-law|tax-pay,188100-2025,False,32014L0024,DEU,vgv,0f6cb684-e0a7-4af0-9eaa-f812e69d7df4,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
c475515b-9c67-4e10-b80a-5b7b1a4f34fb,none,cn-standard,bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,188101-2025,False,32014L0024,DEU,vob-a-eu,fc4f7c55-daf3-47e5-9d9d-be209b4df3a3,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
e828e4ca-25ba-46b8-a9c2-617b7d7e12af,none,cn-standard,nati-ground,188108-2025,,32014L0024,DEU,vob-a-eu,2af59e63-a461-4c61-a353-5d20ad1d6084,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
336fd93a-4de3-4b6b-8b7c-a661926601d1,none,cn-standard,,188111-2025,False,32014L0024,DEU,vob-a-eu,9da1c79c-4fcf-4466-9e89-821f1c8f6fb2,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
