notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only,total-value
19d1ee92-688f-40d5-8926-a2062e6ebe2c,664800.0,664800.0,13.407243026734037,2,4.0,1,0,0,0,0,0,0,0,0,664800.0
cab4fd41-040b-49f4-9e93-6b1810518e54,427800.0,427800.0,12.966413413168617,1,2.0,1,0,0,0,0,0,0,0,0,427800.0
1e19534a-f871-47f1-9e57-5126c4fcde3a,393960.0,393960.0,12.884007198609181,1,2.5,1,0,0,0,0,0,0,0,0,393960.0
93c6f627-9d98-46f7-8284-28fb55578265,892421.5,892421.5,13.701694954131684,1,4.0,1,0,0,0,0,0,0,0,0,892421.5
3671c563-e208-4a5a-abad-8a40d4975889,367305.0,367305.0,12.813950567094974,0,,0,1,0,0,0,0,0,0,0,367305.0
3e5807c2-262a-4470-ae36-9ffea84ce9f8,1380000.0,1380000.0,14.137594781770806,2,2.0,1,0,0,0,0,0,0,0,0,1380000.0
449e161f-f8b2-4d62-9d74-28793010dbfc,72000.0,72000.0,11.184435286790631,0,,0,0,1,0,0,0,0,0,0,72000.0
32bff8be-44f5-48c7-93c0-9e11d7a45d65,320629.28,320629.28,12.678043962607836,2,2.5,1,0,0,0,0,0,0,0,0,320629.28
43ff08a8-64d5-4162-a4e2-b47bab229b10,419926.0,419926.0,12.947836165629116,1,2.0,1,0,0,0,0,0,0,0,0,419926.0
e37bef93-31a9-4624-9be7-abcf4b5cb784,1010884.5,1010884.5,13.826337237385108,24,2.5,1,0,0,0,0,0,0,0,0,1010884.5
ba3f346e-d8f2-4fcf-9a1c-25e64a83c587,1354851.89,1354851.89,14.119203438136294,1,2.5,1,0,0,0,0,0,0,0,0,1354851.89
00702b8d-e52d-45e4-8275-9477eddaa042,630000000.0,9312578.711999994,20.261230378937153,0,,0,1,0,0,0,0,0,0,0,630000000.0
202ebd2c-36eb-444b-9e34-da7dc9742ec9,312707.03,312707.03,12.653025222681297,1,3.0,1,0,0,0,0,0,0,0,0,312707.03
d12f26d7-6370-4028-bd73-74c801faa4e3,1369439.99,1369439.99,14.129913178038414,0,,0,1,0,0,0,0,0,0,0,1369439.99
37563a2b-7400-447a-81f0-067bbb8e8cc0,982300.0,982300.0,13.797653057681378,1,2.0,1,0,0,0,0,0,0,0,0,982300.0
6285700b-ef66-421c-a048-878f9c9d695a,209300.0,209300.0,12.251528686253542,2,3.0,1,0,0,0,0,0,0,0,0,209300.0
04faba23-6458-4b95-bca5-178d5bcf1a23,199640.0,199640.0,12.204276032587229,1,2.0,1,0,0,0,0,0,0,0,0,199640.0
431f4b77-a41a-4f73-b00e-6572a5c7f4f9,1008000.0,1008000.0,13.82347971967645,1,3.0,1,0,0,0,0,0,0,0,0,1008000.0
313dfa4b-a4c2-4fbe-b536-d8c93b739e8d,46291.5,46291.5,10.74273523991197,0,,0,1,0,0,0,0,0,0,0,46291.5
b5df5aca-3bb8-4054-96fe-57b63a6b3895,300000.0,300000.0,12.611541086966115,0,,0,1,0,0,0,0,0,0,0,300000.0
2a64f6cd-e1bf-44c7-a8a6-67c92295b9aa,323600.0,323600.0,12.687266554396556,0,,1,0,0,0,0,0,0,0,0,323600.0
9ef75f07-4f7d-4043-ad86-dd96b1b5e75d,152258.06,152258.06,11.933338691190812,0,,0,1,0,0,0,0,0,0,0,152258.06
14cfe665-d894-47a0-864c-e78e86cc34e5,789100000.0,9312578.711999994,20.48640361475853,0,,0,1,0,0,0,0,0,0,0,789100000.0
0d024aba-eb4a-4aa2-a882-563eb056a49b,10368000.0,9312578.711999994,16.154234794024806,0,,1,0,0,0,0,0,0,0,0,10368000.0
6cd5fe22-a0ce-431f-a21b-4fbf803e4ccc,227348.39,227348.39,12.334243276161807,0,,0,1,0,0,0,0,0,0,0,227348.39
5dd45e0e-cd91-470d-8257-8cbbf91324ab,218914.4,218914.4,12.296440632795179,0,,0,1,0,0,0,0,0,0,0,218914.4
4e812c71-b2c1-4e36-af69-c64c88ec7f71,1198500.0,1198500.0,13.996582167232532,0,,0,1,0,0,0,0,0,0,0,1198500.0
5bd98e0d-9be2-443f-8e87-d3dc9e379719,303000.0,303000.0,12.621491384816093,0,,0,1,0,0,0,0,0,0,0,303000.0
8c16d676-f6be-4658-9409-941b708a411d,16225370.77,9312578.711999994,16.60208673369716,4,3.0,1,0,0,0,0,0,0,0,0,16225370.77
49e8a526-03e8-4080-8899-ae75e50156a0,1999421.95,1999421.95,14.508369171892873,3,2.0,1,0,0,0,0,0,0,0,0,1999421.95
94ddd4d1-e6be-4556-a05e-ad1bf466a422,1523271.42,1523271.42,14.236371486531885,0,,0,0,1,0,0,0,0,0,0,1523271.42
dd9002ad-7191-433e-ab38-99cc79888c22,14760.0,14760.0,9.599743846536997,0,,0,0,1,0,0,0,0,0,0,14760.0
c41c1aeb-1b13-43b0-b2b2-5ecf99507d7e,666522.35,666522.35,13.409830451745671,0,,0,0,1,0,0,0,0,0,0,666522.35
6de1cdf6-ca78-4ccf-b8c4-354026172a43,525000.0,525000.0,13.171155446333852,0,,0,1,0,0,0,0,0,0,0,525000.0
0b09311c-d293-479f-8342-b8c6eb395889,197671.9,197671.9,12.194368923384532,1,2.5,1,0,0,0,0,0,0,0,0,197671.9
b00ca05b-593d-4814-af3f-0b784769737f,6460300.8,6460300.8,15.681186592933773,0,,0,1,0,0,0,0,0,0,0,6460300.8
d7276a69-d1f9-4c18-8542-1014907889f8,232719.8,232719.8,12.3575947307706,1,2.5,1,0,0,0,0,0,0,0,0,232719.8
7b0c3912-b556-4361-af4e-6c02c26949aa,267074.52,267074.52,12.495286743830821,1,2.0,1,0,0,0,0,0,0,0,0,267074.52
