notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy,total-value
f039fa90-b2c2-4072-92c6-0357cadae45b,0.01,0.01,0.009950330853168083,1,2.0,0,1,0,0,0,0,0,0,0,0.01
e3eba0d0-f60b-41af-9b3d-626cac8cb59a,0.0,0.0,0.0,3,3.0,0,1,0,0,0,0,0,0,0,0.0
282e82e8-b51f-4ce2-9e64-cacdb7c9326a,300000.0,300000.0,12.611541086966115,0,,1,0,0,0,0,0,0,0,0,300000.0
a5342494-4756-4a8a-92da-bd1c4712c59a,416165.31,416165.31,12.938840243005053,0,,1,0,0,0,0,0,0,0,0,416165.31
e50ec8e3-9d81-4dad-8377-782484cfd3b5,558648.59,558648.59,13.233277704063106,1,2.0,0,1,0,0,0,0,0,0,0,558648.59
8b812ffe-b490-4f0a-b0fd-a5b780ff8626,107612.26,107612.26,11.586299153317855,1,3.0,0,1,0,0,0,0,0,0,0,107612.26
8f167daa-f88c-4d75-b09b-51097588b44c,225650.0,225650.0,12.32674483688725,0,,0,1,0,0,0,0,0,0,0,225650.0
f2c7f804-8255-4c42-84e6-268c816d582e,713109.79,713109.79,13.477392073019576,1,3.0,0,1,0,0,0,0,0,0,0,713109.79
e0a0a6e3-854e-47ed-8c6e-30a78693a498,1766576.0,1766576.0,14.384554333849195,1,3.0,0,1,0,0,0,0,0,0,0,1766576.0
b64cc902-0236-45f3-a612-8762df1bb75d,132761.7,132761.7,11.796318603078147,1,3.0,0,1,0,0,0,0,0,0,0,132761.7
b889606b-bcba-4d23-804b-ecef38c56346,558213.29,558213.29,13.232498199899998,0,,1,0,0,0,0,0,0,0,0,558213.29
44fb4813-deaa-429c-ad96-1b08a658ecfd,3800000.0,3800000.0,15.150511887854474,0,,1,0,0,0,0,0,0,0,0,3800000.0
60791c86-da4f-433d-85cc-698f93569457,446836.33,446836.33,13.009949892373763,1,4.0,0,1,0,0,0,0,0,0,0,446836.33
3e42bfdd-4022-42cb-8a65-a13c2c5267fa,694942.5,694942.5,13.451585826278286,1,4.0,0,1,0,0,0,0,0,0,0,694942.5
0b8b8296-7dbe-40c9-a236-a230b5704f32,460.242,460.242,6.133922851030883,1,3.0,0,1,0,0,0,0,0,0,0,460.242
536eb618-5ff1-42d7-bbe0-2ce011105436,112412.98,112412.98,11.629943585931722,1,2.0,0,1,0,0,0,0,0,0,0,112412.98
958b44f0-ac58-4d71-b9e3-393ab1278391,270412.02,270412.02,12.507705772879303,1,3.0,0,1,0,0,0,0,0,0,0,270412.02
6570eef9-48a3-4d64-847f-4c1fdb80a3ea,216376.6,216376.6,12.284780308581938,1,4.0,0,1,0,0,0,0,0,0,0,216376.6
82081fb4-a8b8-4f54-9fa9-9a16177dc7b6,969425.0,969425.0,13.784459422747588,1,3.0,0,1,0,0,0,0,0,0,0,969425.0
10b329f6-2aa9-4022-89d9-f3ace631e5a9,63563.0,63563.0,11.059802551332528,1,2.0,0,1,0,0,0,0,0,0,0,63563.0
f276f020-58de-4ad1-aa4d-a0f67fd43b76,198950.4,198950.4,12.200815852774271,1,4.0,0,1,0,0,0,0,0,0,0,198950.4
310ed892-275b-4feb-bc38-0b51898a5fb3,38700.0,38700.0,10.563620718477313,1,3.0,0,1,0,0,0,0,0,0,0,38700.0
09ec5d2b-0d53-40db-8ac8-7f9a2c773638,1500334.0,1500334.0,14.221198974470596,1,4.0,0,1,0,0,0,0,0,0,0,1500334.0
4b6eb5c4-c27a-4087-8ebf-44e0fa206c66,72142.08,72142.08,11.186406648306324,0,,0,0,0,0,0,0,1,0,0,72142.08
dae6ffdf-0ec1-44ba-abdd-e3c40483b2a4,591726.0,591726.0,13.290800658855757,1,3.0,0,1,0,0,0,0,0,0,0,591726.0
7e0aa701-063b-4a04-ba56-e0af34b35f12,47415.0,47415.0,10.766715003467674,0,,0,1,0,0,0,0,0,0,0,47415.0
19948d7e-37e0-4ae3-85ce-491b647f9f9a,640363.85,640363.85,13.36979337102805,0,,1,0,0,0,0,0,0,0,0,640363.85
80b9211f-85f8-4dc5-99d5-c737d5f3f4c5,0.01,0.01,0.009950330853168083,1,4.0,0,1,0,0,0,0,0,0,0,0.01
e17b8074-c89b-4d84-b6c1-de2a6715e9fc,1.0,1.0,0.6931471805599453,0,,1,0,0,0,0,0,0,0,0,1.0
ea1637ed-fcaa-4275-94a4-b7e3e115c7a1,65834.47,65834.47,11.094914029824732,0,,0,1,0,0,0,0,0,0,0,65834.47
e946e548-3158-45bb-8c9d-209932484fc6,1797505.36,1797505.36,14.401910906818646,1,3.0,0,1,0,0,0,0,0,0,0,1797505.36
dd169afe-d13f-405c-acf4-d4e6d16297cc,195.1,195.1,5.2786247332023,1,3.0,0,1,0,0,0,0,0,0,0,195.1
c6905a79-b217-42ec-95b6-cae4bfc37dac,0.0,0.0,0.0,1,2.0,0,1,0,0,0,0,0,0,0,0.0
19f459f3-3c0b-4d3a-a15c-4ed5f75e5925,2500000.0,2500000.0,14.731801689838349,0,,1,0,0,0,0,0,0,0,0,2500000.0
1dcfe14a-fb3f-4eef-a06c-ae33bc515e22,1977767.41,1977767.41,14.497479701398023,5,2.0,0,1,0,0,0,0,0,0,0,1977767.41
e43b0d2d-8d8f-421a-a79d-2b7545baac51,324000.0,324000.0,12.688501881189456,0,,1,0,0,0,0,0,0,0,0,324000.0
baddd0b7-7c69-4906-8e3d-71ecd2936ea9,219816.07,219816.07,12.300550979446623,1,2.0,0,1,0,0,0,0,0,0,0,219816.07
ca77988e-217d-496a-a7a8-52df095a53c3,363052.64,363052.64,12.802305870925325,1,1.0,0,1,0,0,0,0,0,0,0,363052.64
8c9bc2dd-804c-4469-88b3-6dfdeefb8778,550000.0,550000.0,13.217675375388819,0,,1,0,0,0,0,0,0,0,0,550000.0
644d21d2-f7fc-4503-9bbf-9efe70f18dac,180000.0,180000.0,12.100717685412471,1,3.0,0,1,0,0,0,0,0,0,0,180000.0
d07e0a31-7e2d-48a3-adf6-5bf31414bacc,161814.0,161814.0,11.99420898635523,1,1.0,0,1,0,0,0,0,0,0,0,161814.0
7e87e8ba-1573-42c5-8ad7-41e107830bb6,103203.71,103203.71,11.544469770523031,1,3.0,0,1,0,0,0,0,0,0,0,103203.71
4a3b8519-88ae-4d66-9593-0899bc6381ba,989012.5,989012.5,13.804463260663354,1,2.0,0,1,0,0,0,0,0,0,0,989012.5
6aa92cb5-baed-4885-abfb-5d4fb5bed5c2,206038.65,206038.65,12.235823904978798,1,3.0,0,1,0,0,0,0,0,0,0,206038.65
d6c6b4b3-930f-4dba-b233-c47b6edc01c8,25375000.0,4792500.0,17.049275034735093,0,,1,0,0,0,0,0,0,0,0,25375000.0
0195b7ba-a6b2-41cc-a1c1-49b16845a088,107000.0,107000.0,11.580593459194764,0,,1,0,0,0,0,0,0,0,0,107000.0
14c60417-23e7-42dc-8c30-a9d862e0dfaa,128270.07,128270.07,11.761901038038165,0,,0,1,0,0,0,0,0,0,0,128270.07
8e79955c-5abf-4c32-8eb0-87643b26b8a8,3172680.0,3172680.0,14.97008752974071,0,,1,0,0,0,0,0,0,0,0,3172680.0
9214b70e-20c3-467a-a875-fd34db21562a,4628103.0,4628103.0,15.347657838953326,3,4.0,0,1,0,0,0,0,0,0,0,4628103.0
91dc6f13-b677-4f4b-9189-f60e03b7c432,38904.33,38904.33,10.568886538215288,1,2.0,0,1,0,0,0,0,0,0,0,38904.33
fbb34105-137f-42d3-9457-6b2e6735c4bd,556436.91,556436.91,13.229310871146037,2,4.0,0,1,0,0,0,0,0,0,0,556436.91
40bb0cf0-6273-4bf9-b983-7ade3e126f58,115741.66,115741.66,11.659124557410824,1,2.0,0,1,0,0,0,0,0,0,0,115741.66
15ced0d9-c526-4964-96fb-a7a974cbb620,203382.9,203382.9,12.222850605088109,0,,0,0,1,0,0,0,0,0,0,203382.9
1492292e-8143-48d1-8e5e-cdad322d420e,103957.0,103957.0,11.551742250401844,1,2.0,0,1,0,0,0,0,0,0,0,103957.0
2681f9b4-b673-4d28-bdac-730d785a550e,360684.87,360684.87,12.79576269229565,1,3.0,0,1,0,0,0,0,0,0,0,360684.87
1701428d-7268-4b26-b47f-9adfde1d5168,1526508.0,1526508.0,14.238493986979847,1,3.0,0,1,0,0,0,0,0,0,0,1526508.0
e5168375-d6a1-4cba-81ac-176c4639acc3,7702341.99,4792500.0,15.857035124954383,1,3.0,0,1,0,0,0,0,0,0,0,7702341.99
09bea3b5-1280-4863-9825-a8b8a61052bf,1.0,1.0,0.6931471805599453,1,3.0,0,1,0,0,0,0,0,0,0,1.0
7f067c89-1657-40a4-bf41-ce46d56269b7,609051.66,609051.66,13.319660012576083,1,2.0,0,1,0,0,0,0,0,0,0,609051.66
d88e2f61-ec2d-4f88-ba0d-ac1f4cc091fe,0.01,0.01,0.009950330853168083,1,3.0,0,1,0,0,0,0,0,0,0,0.01
7d86a03c-87f3-4e5c-83f6-6b1c6136d85f,167911.0,167911.0,12.031195311625453,1,3.0,0,1,0,0,0,0,0,0,0,167911.0
83800ba8-8603-4080-8387-4034a932c70e,548000.0,548000.0,13.214032390746006,0,,1,0,0,0,0,0,0,0,0,548000.0
172bae37-3dab-4db3-8401-f02a067ba965,70770.0,70770.0,11.167204591251192,1,1.0,0,1,0,0,0,0,0,0,0,70770.0
3a9f5e36-46bf-46cc-a0db-8642fbd470fd,1.0,1.0,0.6931471805599453,3,3.0,0,1,0,0,0,0,0,0,0,1.0
e47c2cf8-52f7-44e6-9184-936f1c133c16,340180.0,340180.0,12.737233107883963,0,,1,0,0,0,0,0,0,0,0,340180.0
f7ed9c76-77a3-468d-93b9-d0626b88b4ee,1019305.27,1019305.27,13.834632826417876,1,3.0,0,1,0,0,0,0,0,0,0,1019305.27
defe00a1-81a2-4f5c-a7f1-576900973887,179823.0,179823.0,12.099733873758048,1,3.0,0,1,0,0,0,0,0,0,0,179823.0
be26d32a-cd54-4652-acb3-7ac35d76c918,177845.78,177845.78,12.088677672067917,0,,1,0,0,0,0,0,0,0,0,177845.78
462c99fa-25fb-4f03-b004-c00c59615407,2879019.31,2879019.31,14.872960624102253,0,,0,0,1,0,0,0,0,0,0,2879019.31
211cbcd9-1e94-409d-a297-bb4284777175,205310.82,205310.82,12.23228517563123,1,2.0,0,1,0,0,0,0,0,0,0,205310.82
7e6176e3-3954-4500-878c-be815efc1537,136346.0,136346.0,11.822958385831463,0,,1,0,0,0,0,0,0,0,0,136346.0
d80f2e98-93ce-4d77-af60-13410c849ffd,1024920.0,1024920.0,13.840126094413625,0,,1,0,0,0,0,0,0,0,0,1024920.0
c684f9f8-5805-44f1-b685-9015a1a5c8c1,288468.07,288468.07,12.572343149477547,1,3.0,0,1,0,0,0,0,0,0,0,288468.07
4f3bae43-f720-4802-961a-7b90f9ad803b,1.0,1.0,0.6931471805599453,0,,1,0,0,0,0,0,0,0,0,1.0
4d689fb7-fb7c-41ac-ab61-5822bd0f76e1,488480.0,488480.0,13.099055855133331,1,3.0,0,1,0,0,0,0,0,0,0,488480.0
9a0b82dd-e627-4244-b193-20d7f4571994,1000000.0,1000000.0,13.815511557963774,1,2.0,0,1,0,0,0,0,0,0,0,1000000.0
4cb653e1-f1ea-465c-85a9-8bfed90477c0,46520.0,46520.0,10.747659102532259,1,3.0,0,1,0,0,0,0,0,0,0,46520.0
4803229d-2e45-4228-9eee-1e6381f49468,1.0,1.0,0.6931471805599453,1,4.0,0,1,0,0,0,0,0,0,0,1.0
7d8dee32-b1ba-4231-9a9b-7e6c99ed79cf,5374123.53,4792500.0,15.49710624057238,1,3.0,0,1,0,0,0,0,0,0,0,5374123.53
3fc31e88-8ec4-4902-8444-679797a50889,4770000.0,4770000.0,15.377857072508109,0,,0,1,0,0,0,0,0,0,0,4770000.0
b3f75bcb-8d69-47ae-a7b3-e0fe98d7f299,290000.0,290000.0,12.577639650232573,0,,1,0,0,0,0,0,0,0,0,290000.0
2afa9eab-f55f-435c-8a9a-33cfad4e59a2,36660.2,36660.2,10.509474254082198,1,1.0,0,1,0,0,0,0,0,0,0,36660.2
12ff883a-484a-402b-a573-d89de25e8e4c,306000.0,306000.0,12.631343648903034,1,3.0,0,1,0,0,0,0,0,0,0,306000.0
2b4fa13f-de1a-4ab9-9f47-a003ffba71cb,0.01,0.01,0.009950330853168083,1,3.0,0,1,0,0,0,0,0,0,0,0.01
a093603f-ca55-452c-aca6-c291cfc5a629,96625.82,96625.82,11.478611621417379,1,2.0,0,1,0,0,0,0,0,0,0,96625.82
c3fea1ed-fb98-4111-980b-d5d83ad13d08,168424.8,168424.8,12.034250575706254,1,1.0,0,1,0,0,0,0,0,0,0,168424.8
65430973-e397-46b8-a209-3e885ddfc6d1,420168.0,420168.0,12.948412290278426,0,,1,0,0,0,0,0,0,0,0,420168.0
a6e65b29-e269-41f6-a526-1c1443858727,0.01,0.01,0.009950330853168083,1,3.0,0,1,0,0,0,0,0,0,0,0.01
8c569c5f-f5f7-474c-8239-8545f9eb9956,4800000.0,4792500.0,15.38412668421143,0,,1,0,0,0,0,0,0,0,0,4800000.0
a645a530-1007-4ecb-bf9d-9fc1fd2bcb0f,0.0,0.0,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0.0
