notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social,total-value
bffa21e1-a66f-4e63-b587-29a3077fd7ac,1385314.37,1385314.37,14.141438375654081,0,,1,0,0,0,0,0,0,0,1385314.37
e9641dfb-be38-47fa-889e-65659c047dda,195000.0,195000.0,12.180759965737863,0,,0,1,0,0,0,0,0,0,195000.0
c1053f5b-175f-4dd0-a3c9-da8f8b7143be,355000.0,355000.0,12.779875885354993,0,,1,0,0,0,0,0,0,0,355000.0
9f092344-2b97-4a5e-8049-3b4a2263185d,666500.0,666500.0,13.409796918974868,1,3.0,0,1,0,0,0,0,0,0,666500.0
36bde84f-4214-4dcd-871a-2d8085b5343d,3830000.0,3830000.0,15.1583756222534,0,,1,0,0,0,0,0,0,0,3830000.0
37452da3-c373-4a43-bf4e-3272ca407f77,8873258.8,8873258.8,15.998552795226539,0,,0,1,0,0,0,0,0,0,8873258.8
2a073189-aafb-4e6d-868b-d1301bdaf1e3,877598.28,877598.28,13.684945367523495,0,,1,0,0,0,0,0,0,0,22502520.0
6467666a-2ceb-4bce-bc98-2a2f134741eb,19947.0,19947.0,9.900884166666014,2,4.0,0,1,0,0,0,0,0,0,19947.0
36c77372-f023-48eb-b31c-f8b014d8d3c6,254430.0,254430.0,12.446784958370257,1,2.5,0,1,0,0,0,0,0,0,254430.0
260c7789-403f-424b-b5f2-1c1bd744842e,931000.0,931000.0,13.744015630372484,0,,1,0,0,0,0,0,0,0,931000.0
d580b07f-79c0-4408-a0d3-7c8e7196dd38,66787.344,66787.344,11.109283853281443,1,2.5,0,1,0,0,0,0,0,0,1712496.0
2e0d8e19-7370-4caa-82c5-c736ff8357bc,300000.0,300000.0,12.611541086966115,3,4.0,0,1,0,0,0,0,0,0,300000.0
1d9f4f96-7c66-45d6-ac75-b10bfc231541,185061.1,185061.1,12.128446723409663,1,4.0,0,1,0,0,0,0,0,0,185061.1
f2b855dc-7db4-4d29-b617-3722e0093207,380000.0,380000.0,12.847929163278053,0,,0,1,0,0,0,0,0,0,380000.0
de48cecf-9d01-4127-9967-4801ed0fff8c,786814.92,786814.92,13.575749599151008,1,2.5,0,1,0,0,0,0,0,0,786814.92
2ed17f2f-fbd4-438c-8180-b400a9503162,426455839.47,23506828.500000007,19.871019380191946,0,,0,0,1,0,0,0,0,0,426455839.47
b5238cad-f62b-48ba-a461-18e041a49dbc,2600000.0,2600000.0,14.77102238760702,0,,1,0,0,0,0,0,0,0,2600000.0
7ab9dbdd-a3ff-4353-9234-9a2f1d4c0ff2,100000.0,100000.0,11.51293546492023,0,,0,1,0,0,0,0,0,0,100000.0
e156cfd7-7d70-491a-aac6-4b52af5ec213,2579587.25,2579587.25,14.763140351138222,0,,1,0,0,0,0,0,0,0,2579587.25
69749e92-8047-4040-affe-b2143fcc4274,748800.0,748800.0,13.526228539614713,0,,1,0,0,0,0,0,0,0,19200000.0
be0afe18-302e-4bd6-ace4-35ab26f28f31,15944.292,15944.292,9.676918892227246,1,2.5,0,1,0,0,0,0,0,0,408828.0
c83119f7-58a5-4ef2-bc75-95f659d5f2d7,250000.0,250000.0,12.429220196836383,0,,1,0,0,0,0,0,0,0,250000.0
3a4133c2-7eb2-4dd7-854f-3bf7ea959acb,3200000.0,3200000.0,14.978661680269907,0,,1,0,0,0,0,0,0,0,3200000.0
6d2c9079-1168-4b66-b7d2-decabfdf9dde,397000.0,397000.0,12.891694078557842,0,,0,0,0,0,1,0,0,0,397000.0
1857b7de-d6be-4643-9db0-cefd8b16ca75,4178875.0,4178875.0,15.245552868819448,0,,1,0,0,0,0,0,0,0,4178875.0
1b7d6132-3a19-4a84-af75-c8fdcb0ee739,653296.7,653296.7,13.38978820023486,2,2.0,0,1,0,0,0,0,0,0,653296.7
e27da954-9094-4c1f-903e-fee92cbe5323,170000.0,170000.0,12.04355959836804,0,,1,0,0,0,0,0,0,0,170000.0
7ca29374-cc7f-4597-84c7-c96c287c4cd1,0.0,0.0,0.0,1,4.0,0,1,0,0,0,0,0,0,0.0
9e82a230-e257-4959-ba73-8ee60f6ef642,288341.34,288341.34,12.571903733752261,1,4.0,0,1,0,0,0,0,0,0,288341.34
619a70fe-e4b8-49e0-9538-225af73a6f55,809468.0,809468.0,13.604133756122568,0,,1,0,0,0,0,0,0,0,809468.0
90deb5a4-4b7c-4275-8008-68be829f7ddf,460618.81,460618.81,13.040328274562397,4,3.0,0,1,0,0,0,0,0,0,460618.81
f0519624-8530-4d71-8a07-d37df75fb214,68472.4521,68472.4521,11.134201388545362,0,,1,0,0,0,0,0,0,0,134259.71
2f1ed382-f74a-4c9d-907f-7269471006ff,667710.28,667710.28,13.411611143517849,1,4.0,0,1,0,0,0,0,0,0,667710.28
ee196501-d8b4-4134-b610-e80a8d0cb3a4,313526.19,313526.19,12.655641365756763,1,4.0,0,1,0,0,0,0,0,0,313526.19
c9af9408-c4d2-4fd8-8da4-a3ac022db767,1110885.0,1110885.0,13.920668453095947,1,3.0,0,1,0,0,0,0,0,0,1110885.0
b1efcdbb-b137-413c-a9f6-c2b6c965a0a2,990000.0,990000.0,13.805461232211272,0,,1,0,0,0,0,0,0,0,990000.0
d723817c-aa3a-4e60-8a4d-3728932a9769,78872.28540000001,78872.28540000001,11.275597861413893,1,2.5,0,1,0,0,0,0,0,0,154651.54
9b5f6dec-362f-468e-bea6-30773992d696,25436.0,25436.0,10.143960085972113,6,4.0,0,1,0,0,0,0,0,0,25436.0
3f8f5406-5602-42f4-806c-7f30af2ae164,151404.33,151404.33,11.927715824121426,1,3.0,0,1,0,0,0,0,0,0,151404.33
d2dfe591-02db-4242-9b6b-49bfb475844c,387263.00067,387263.00067,12.866861911712078,1,2.5,0,1,0,0,0,0,0,0,9929820.53
fad575af-7496-4526-b94b-612ac43416d6,304200.0,304200.0,12.625443946112906,0,,0,1,0,0,0,0,0,0,304200.0
6e941761-c54e-4c3d-a93d-60e7215a981a,323.0,323.0,5.780743515792329,1,2.5,0,1,0,0,0,0,0,0,323.0
63525b8c-73a6-417d-8d70-68c05e10c186,1020000.0,1020000.0,13.83531416565213,0,,0,1,0,0,0,0,0,0,2000000.0
2ff286f4-bcbe-4c8e-9ea3-633f3b81f24e,9960.0,9960.0,9.206432747145165,0,,0,1,0,0,0,0,0,0,9960.0
522bd9d0-95ad-4674-b997-9c133ace6d8b,245505.0,245505.0,12.411076665836596,1,2.5,0,1,0,0,0,0,0,0,245505.0
3ed25a97-7c06-4d46-86c2-664101366954,735584.0,735584.0,13.508421379987265,1,3.0,0,1,0,0,0,0,0,0,735584.0
99103ab4-b1bc-4bad-bde3-8ca35de6f412,299273.7,299273.7,12.609117159696547,1,4.0,0,1,0,0,0,0,0,0,299273.7
426fc210-4549-4895-91a8-435d8e2cef85,289500.0,289500.0,12.575914030220655,1,2.5,0,1,0,0,0,0,0,0,1447500.0
12e10731-dd75-4371-970e-c3f7ef3c660a,4000000.0,4000000.0,15.201805169084134,0,,1,0,0,0,0,0,0,0,4000000.0
115edf4d-782f-4fc2-9c9e-860c9b349066,39189667.75,23506828.500000007,17.483923717728764,0,,0,0,1,0,0,0,0,0,39189667.75
f9bce075-2429-47b2-83cc-f82ea841a67f,600000.0,600000.0,13.304686600863562,0,,0,1,0,0,0,0,0,0,600000.0
22a5afb3-14f3-4985-beca-f63726b8b43c,10384087.89,10384087.89,16.155785278174424,1,4.0,0,1,0,0,0,0,0,0,10384087.89
63b063d5-56cf-47ac-931c-394b3a445b38,891939.42,891939.42,13.701154615609374,1,2.0,0,1,0,0,0,0,0,0,891939.42
714a35e7-5163-49af-adb7-9777f9eb778e,32551.27,32551.27,10.39060238406836,1,3.0,0,1,0,0,0,0,0,0,32551.27
03be5df8-0795-4fae-910f-b299479e50f1,7409.61,7409.61,8.910668036089515,1,2.5,0,1,0,0,0,0,0,0,189990.0
486a0610-c616-46de-abad-7490ef42d960,0.0,0.0,0.0,1,4.0,0,1,0,0,0,0,0,0,0.0
